house,district,office,year,TOT,DEM,REP,dem_pct,margin
wsa,1,WSC,2025,28055,13371.000000000004,14671.999999999998,47.68034803694328,-4.63731955088218
wsa,1,PRE,2024,39529,16597,22428,42.52914798206278,-14.751195324951304
wsa,1,WSA,2024,38929,14801,24101,38.04688704950902,-23.889645251611906
wsa,1,GOV,2022,32078.011299435027,14154.956214689266,17565.090395480227,44.624638761253166,-10.630753100492306
wsa,1,USS,2022,32115.005649717514,13427.004237288136,18636.00988700565,41.876924562481,-16.219849706809352
wsa,1,PRE,2020,38112,15986,21548,42.59071774924069,-14.59382871536523
wsa,1,GOV,2018,31211,13440,17283,43.74572795625427,-12.312966582294704
wsa,1,USS,2018,31099,15752,15322,50.69189676256678,1.3826811151483986
wsa,1,PRE,2016,33537,13390,18379,42.14800591771853,-14.87610698631362
wsa,1,USS,2016,33457,13103,19235,40.51889418022141,-18.328003108467584
wsa,1,GOV,2014,28650,11832,16547,41.69280101483491,-16.45724258289703
wsa,1,PRE,2012,33807,16721,16699,50.0329144225015,0.0650752802674015
wsa,1,GOV,2012,28830,11289,17387,39.36741526014786,-21.15157821713493
wsa,1,USS,2012,33372,16406,16015,50.603004225656214,1.171640896559989
wsa,10,WSC,2025,21637,18932,2684,87.58327165062917,75.09358968433702
wsa,10,PRE,2024,31061,25957,4449,85.36801946984149,69.2443900711503
wsa,10,WSA,2024,25222,24882,0,100,98.65197050194274
wsa,10,GOV,2022,24357,20914,3261,86.51085832471561,72.47608490372377
wsa,10,USS,2022,24496,20964,3488,85.73531817438247,71.34225996080993
wsa,10,PRE,2020,31921.64692482916,27004.80637813212,4456.449886104783,85.83511780751559,70.63657005268381
wsa,10,GOV,2018,28460.732056312023,23329.74474959612,4760.702284791138,83.05223737107755,65.24443021375741
wsa,10,USS,2018,28492.56104315717,24245.25294253404,4213.308100623125,85.19493626457894,70.30587672188852
wsa,10,PRE,2016,31650.519410664172,26000.156220767072,4239.393358278765,85.98063325249922,68.75325671640113
wsa,10,USS,2016,31168.752338634236,24996.66230121609,5667.798877455566,81.51671785644241,62.01359365867861
wsa,10,GOV,2014,28537.79875375029,22960.30325409647,5331.210477729056,81.15614976185633,61.77453604073331
wsa,10,PRE,2012,37250.51590559207,30820.65562751541,6108.755560316657,83.45829147059501,66.339752528069
wsa,10,GOV,2012,30662.433574347844,24617.505255849537,5889.976103321806,80.69333867985426,61.07646057224616
wsa,10,USS,2012,36150.62023154768,29191.183838528825,6483.258622310223,81.82660141240582,62.81475966600985
wsa,11,WSC,2025,12818,11477,1326,89.6430524095915,79.19332189109065
wsa,11,PRE,2024,24234,21042,2815,88.20052814687513,75.21251134769332
wsa,11,WSA,2024,20646,20392,0,100,98.7697374794149
wsa,11,GOV,2022,16051,14243,1636,89.69708419925688,78.54339293501963
wsa,11,USS,2022,16273,14510,1735,89.31979070483226,78.5042708781417
wsa,11,PRE,2020,24325.2832278481,21322.136075949365,2724.6890822784812,88.66923569182187,76.45315706902082
wsa,11,GOV,2018,21174.244972045613,18481.79630322812,2339.3408470432496,88.76458653454114,76.23627419771638
wsa,11,USS,2018,21221.443233873557,19170.218899464813,2022.3234653227175,90.45738151415513,80.80456755538056
wsa,11,PRE,2016,25261.64043060228,22214.9361425081,2377.0426953734855,90.33407310959507,78.5297118832502
wsa,11,USS,2016,24736.809634241938,21293.55503985531,2980.423798026275,87.72173355702579,74.03190432641352
wsa,11,GOV,2014,22792.917975271845,19949.05540107793,2658.1512760755686,88.24201806956604,75.8608623246982
wsa,11,PRE,2012,31561.98861027752,28478.706482173355,2937.7125729661116,90.64911704987738,80.92327205545703
wsa,11,GOV,2012,25051.53407331253,21943.00705095077,2989.796964017476,88.00858113582984,75.65688405136116
wsa,11,USS,2012,30332.19495288359,26618.00110219508,3305.1812004474737,88.95444619820536,76.85833464396657
