house,district,WSCTOT25,WSCLIB25,WSCCON25,PRETOT24,PREDEM24,PREREP24,WSATOT24,WSADEM24,WSAREP24,WSSTOT24,WSSDEM24,WSSREP24,GOVDEM22,GOVREP22,GOVTOT22,USSDEM22,USSREP22,USSTOT22,PREDEM20,PREREP20,PRETOT20,GOVDEM18,GOVREP18,GOVTOT18,USSDEM18,USSREP18,USSTOT18,PREDEM16,PREREP16,PRETOT16,USSDEM16,USSREP16,USSTOT16,GOVDEM14,GOVREP14,GOVTOT14,PREDEM12,PREREP12,PRETOT12,GOVDEM12,GOVREP12,GOVTOT12,USSDEM12,USSREP12,USSTOT12
wsa,1,28055,13371.000000000004,14671.999999999998,39529,16597,22428,38929,14801,24101,NA,NA,NA,14154.956214689266,17565.090395480227,32078.011299435027,13427.004237288136,18636.00988700565,32115.005649717514,15986,21548,38112,13440,17283,31211,15752,15322,31099,13390,18379,33537,13103,19235,33457,11832,16547,28650,16721,16699,33807,11289,17387,28830,16406,16015,33372
wsa,10,21637,18932,2684,31061,25957,4449,25222,24882,NA,25855,25487,NA,20914,3261,24357,20964,3488,24496,27004.80637813212,4456.449886104783,31921.64692482916,23329.74474959612,4760.702284791138,28460.732056312023,24245.25294253404,4213.308100623125,28492.56104315717,26000.156220767072,4239.393358278765,31650.519410664172,24996.66230121609,5667.798877455566,31168.752338634236,22960.30325409647,5331.210477729056,28537.79875375029,30820.65562751541,6108.755560316657,37250.51590559207,24617.505255849537,5889.976103321806,30662.433574347844,29191.183838528825,6483.258622310223,36150.62023154768
wsa,11,12818,11477,1326,24234,21042,2815,20646,20392,NA,20975,20711,NA,14243,1636,16051,14510,1735,16273,21322.136075949365,2724.6890822784812,24325.2832278481,18481.79630322812,2339.3408470432496,21174.244972045613,19170.218899464813,2022.3234653227175,21221.443233873557,22214.9361425081,2377.0426953734855,25261.64043060228,21293.55503985531,2980.423798026275,24736.809634241938,19949.05540107793,2658.1512760755686,22792.917975271845,28478.706482173355,2937.7125729661116,31561.98861027752,21943.00705095077,2989.796964017476,25051.53407331253,26618.00110219508,3305.1812004474737,30332.19495288359
wsa,12,14988.845519310087,12169.014248218975,2806.8312710911136,25554,20191,4959,22856,18391,NA,21446,21017,NA,14062,3493,17723,14136,3723,17890,20294.455576616903,5319.989992735619,26026.15614045421,16889.304813804105,4876.86933688228,22130.108823603103,17744.370896984,4347.54614221385,22134.195361051618,19580.224644533377,5349.346289157416,25989.885645835573,18824.25900541742,6247.234294884587,25596.827517105936,16221.569534469842,5897.25716106181,22325.9057437756,23242.006831881896,6795.967053317648,30228.082224824127,17807.070156120644,6571.71196328984,24513.183147720796,21871.531099680833,6902.381361591919,29278.980333934964
wsa,13,31533,19918,11593,40236,23836,15596,39384,22540,16796,NA,NA,NA,19997.394008557356,13735.241443165442,33976.593173245674,19260.83080156744,14595.515880211842,33947.338127988834,22545.24121260227,16392.871486783653,39678.68984518083,16278.583018247302,17611.718803671265,34366.06094160828,17996.742636054616,16235.972681813484,34293.69644980444,17355.43379706714,15890.003198896313,35928.716347798116,15649.932960598157,19778.83245053998,36037.37569801406,12011.456908791806,19266.162779785333,31526.15092578849,15816.18631553402,21408.627590507574,37582.70623930032,12481.810976745524,20895.487611210418,33531.33017523158,15139.034816651709,21346.658400534063,37095.25813139267
wsa,14,20198,12556,7627.000000000001,31073,16765,13621,29693,15637,12896,NA,NA,NA,13184.212320461163,9749.197386483973,23250.589510953225,12863.48392133317,10272.231566653552,23200.23978340431,16215,13258,30103,13182,12230,26100,14686,11135,25898,13821,13354,29577,13599,14704,29239,11435,13956,25757,16257.149667758362,15449.216664104892,32167.43468377926,11920.619940409322,14413.100465847683,26533.737494236007,15471.954864797748,15171.257675254496,31466.32532071365
wsa,15,28683,13131,15538,39364,16818,21712,38215,15598,22573,NA,NA,NA,13743.62583424163,18054.97683452862,32052.60313520685,12930.943617439225,19001.494937876458,31997.91745359885,16288,21701,38559,11016.1938380599,20665.29886719125,32080.446705651226,12761.933326423388,19127.558547528904,31929.48289834749,12177.602373769429,19760.45446297729,34195.410327546626,10883.222208935857,22773.415740468776,34242.42800163029,7806.828289407301,21296.249190322505,29296.06188993695,11410.395269698409,23642.895321865355,35321.06505088326,8131.254357015502,22435.211727087237,30677.308172701163,10883.042801433372,23334.42827749078,34916.70696953163
wsa,16,13136,12157.999999999998,959.9999999999998,23842,20219,3164,20350,20079,NA,21093,20825,NA,14240,1233,15627,14493,1314,15833,20326,2133,22842,17920,1837,20197,18513,1713,20277,20997,2112,24214,19778,3229,23498,18377,2030,20611,27752,3076,31145,20104,1650,21908,25732,3397,29692
wsa,17,18551,16070.000000000004,2466,29665,24599,4556,24854,24469,NA,26051,25686,NA,18493,3108,21830,18708,3270,22013,25315,4578,30321,21376,4395,26192,22317,3957,26302,24324,4415,29931,23479,5531,29484,21535,5185,26965,28882.351062263107,5980.221924492372,35082.360123563754,23280.9616637603,5849.764043249341,29284.651527630907,27306.748531825702,6177.493057083087,34032.82821380498
wsa,18,17254,14761,2476,26936,22107,4255,25308,20801,4431,23089,22679,NA,16953,3010,20152,17054,3196,20293,22809,4282,27567,19771.81677755221,4187.6570369716555,24412.432658960464,20538.741325685973,3854.698192535057,24434.432658960464,22193.963863701672,3909.403556033824,27494.223450502283,21241.984430734992,5294.321287900558,27075.250873213372,19564.142592429136,4796.732488837891,24591.861362745894,27432.48541009197,5417.791147103227,33147.13923665167,21608.142421326047,5232.716444156451,26969.82977908164,26032.93926711972,5787.684950641897,32319.366989054608
